sglund,ano,docentes,disciplinas,turmas
CEBIMar,2001,2,1,3
CEBIMar,2002,2,1,2
CEBIMar,2003,3,5,43
CEBIMar,2004,3,3,28
CEBIMar,2005,3,4,51
CEBIMar,2006,3,2,19
CEBIMar,2007,3,3,33
CEBIMar,2008,3,3,12
CEBIMar,2009,3,2,17
CEBIMar,2010,3,1,3
CEBIMar,2011,1,1,2
CEBIMar,2012,2,1,12
CEBIMar,2013,3,3,30
CEBIMar,2014,4,5,27
CEBIMar,2015,3,5,23
CEBIMar,2016,5,6,16
CEBIMar,2017,5,8,150
CEBIMar,2018,5,4,70
CEBIMar,2019,5,8,245
CEBIMar,2020,5,8,253
CENA,1998,7,5,18
CENA,1999,8,11,33
CENA,2000,17,9,39
CENA,2001,9,11,29
CENA,2002,17,18,54
CENA,2003,17,21,46
CENA,2004,24,31,70
CENA,2005,29,45,78
CENA,2006,31,45,80
CENA,2007,31,51,121
CENA,2008,31,52,109
CENA,2009,24,36,66
CENA,2010,27,32,51
CENA,2011,24,31,56
CENA,2012,27,35,58
CENA,2013,25,32,62
CENA,2014,24,33,57
CENA,2015,25,32,60
CENA,2016,26,36,65
CENA,2017,31,37,66
CENA,2018,31,42,75
CENA,2019,30,42,86
CENA,2020,31,40,82
CEPEUSP,1998,1,3,9
CEPEUSP,1999,1,3,8
CEPEUSP,2000,1,3,14
CEPEUSP,2001,1,3,10
CEPEUSP,2002,1,2,6
CEPEUSP,2003,1,2,6
CEPEUSP,2004,1,2,4
CEPEUSP,2005,1,2,3
CEPEUSP,2006,1,2,2
CEPEUSP,2007,1,2,2
CEPEUSP,2008,1,2,2
CEPEUSP,2009,1,2,2
CEPEUSP,2010,1,4,4
CEPEUSP,2011,1,2,2
CEPEUSP,2012,1,2,2
CEPEUSP,2013,1,2,2
CEPEUSP,2014,1,2,2
CEPEUSP,2015,1,2,2
CEPEUSP,2016,1,2,2
CEPEUSP,2017,1,1,1
CEPEUSP,2018,1,1,1
EACH,1998,11,33,72
EACH,1999,12,26,65
EACH,2000,10,25,63
EACH,2001,11,28,66
EACH,2002,12,30,87
EACH,2003,16,45,106
EACH,2004,14,46,99
EACH,2005,72,97,293
EACH,2006,119,196,697
EACH,2007,170,332,1121
EACH,2008,202,443,1374
EACH,2009,231,458,1434
EACH,2010,233,470,1440
EACH,2011,251,495,1784
EACH,2012,257,520,1735
EACH,2013,268,532,1873
EACH,2014,272,529,2110
EACH,2015,278,553,2120
EACH,2016,286,562,2282
EACH,2017,277,546,1757
EACH,2018,279,577,2054
EACH,2019,270,579,1872
EACH,2020,267,547,1709
ECA,1998,166,457,1207
ECA,1999,167,461,1219
ECA,2000,173,484,1220
ECA,2001,180,476,1122
ECA,2002,172,459,918
ECA,2003,189,484,1007
ECA,2004,179,456,1012
ECA,2005,180,470,1003
ECA,2006,181,481,1050
ECA,2007,186,515,1264
ECA,2008,196,542,1294
ECA,2009,183,497,736
ECA,2010,186,478,725
ECA,2011,193,501,732
ECA,2012,194,505,730
ECA,2013,191,499,720
ECA,2014,199,495,722
ECA,2015,200,508,798
ECA,2016,199,494,768
ECA,2017,194,501,789
ECA,2018,186,474,763
ECA,2019,183,488,809
ECA,2020,184,491,777
EE,1998,75,37,1566
EE,1999,80,43,2041
EE,2000,76,44,2012
EE,2001,80,48,2204
EE,2002,78,49,1936
EE,2003,77,48,1566
EE,2004,79,49,1755
EE,2005,79,60,1452
EE,2006,79,56,929
EE,2007,78,55,1807
EE,2008,12,11,20
EE,2009,53,55,176
EE,2010,33,27,68
EE,2011,8,8,23
EE,2012,10,12,22
EE,2013,6,5,6
EE,2014,5,4,6
EE,2015,3,3,3
EE,2016,3,5,19
EE,2017,1,2,16
EE,2018,1,1,3
EE,2020,1,1,3
EEFE,1998,33,76,250
EEFE,1999,37,75,269
EEFE,2000,33,71,233
EEFE,2001,36,86,276
EEFE,2002,36,91,214
EEFE,2003,35,90,180
EEFE,2004,36,89,189
EEFE,2005,36,88,166
EEFE,2006,34,82,122
EEFE,2007,36,84,136
EEFE,2008,36,86,154
EEFE,2009,36,90,155
EEFE,2010,35,86,147
EEFE,2011,42,76,142
EEFE,2012,42,83,151
EEFE,2013,40,79,142
EEFE,2014,41,84,156
EEFE,2015,42,79,150
EEFE,2016,41,82,178
EEFE,2017,44,80,167
EEFE,2018,40,82,159
EEFE,2019,40,82,158
EEFE,2020,39,79,149
EEFERP,2001,1,2,2
EEFERP,2002,1,4,7
EEFERP,2003,1,4,7
EEFERP,2004,1,6,8
EEFERP,2005,1,3,4
EEFERP,2006,3,9,15
EEFERP,2007,3,8,15
EEFERP,2008,5,17,29
EEFERP,2009,9,23,36
EEFERP,2010,12,29,64
EEFERP,2011,13,48,96
EEFERP,2012,14,59,122
EEFERP,2013,18,60,121
EEFERP,2014,19,60,130
EEFERP,2015,19,65,181
EEFERP,2016,19,65,195
EEFERP,2017,19,62,151
EEFERP,2018,18,60,121
EEFERP,2019,18,62,125
EEFERP,2020,19,62,134
EEL,2001,67,82,206
EEL,2002,79,109,509
EEL,2003,78,119,572
EEL,2004,80,102,349
EEL,2005,88,124,619
EEL,2006,86,133,619
EEL,2007,86,113,338
EEL,2008,97,145,620
EEL,2009,96,154,761
EEL,2010,94,152,721
EEL,2011,93,147,713
EEL,2012,106,155,730
EEL,2013,115,178,721
EEL,2014,127,209,781
EEL,2015,137,255,816
EEL,2016,140,288,872
EEL,2017,140,293,836
EEL,2018,144,287,961
EEL,2019,140,283,975
EEL,2020,141,277,858
EERP,1998,51,38,257
EERP,1999,63,43,288
EERP,2000,60,45,475
EERP,2001,69,49,402
EERP,2002,67,56,426
EERP,2003,68,56,412
EERP,2004,71,55,693
EERP,2005,66,53,726
EERP,2006,83,76,1095
EERP,2007,83,85,1351
EERP,2008,90,93,875
EERP,2009,90,109,808
EERP,2010,77,60,291
EERP,2011,55,44,153
EERP,2012,25,23,35
EERP,2020,1,2,2
EESC,1998,167,308,772
EESC,1999,168,318,721
EESC,2000,168,334,753
EESC,2001,168,330,723
EESC,2002,173,337,738
EESC,2003,171,333,818
EESC,2004,177,354,928
EESC,2005,181,374,1063
EESC,2006,190,419,1122
EESC,2007,187,452,1253
EESC,2008,192,453,1235
EESC,2009,197,459,1016
EESC,2010,206,450,1020
EESC,2011,208,464,1043
EESC,2012,210,468,1071
EESC,2013,205,486,1063
EESC,2014,208,488,1070
EESC,2015,209,491,1070
EESC,2016,213,490,1088
EESC,2017,207,512,1126
EESC,2018,201,505,1098
EESC,2019,195,493,1084
EESC,2020,198,486,1035
EP,1993,1,1,1
EP,1998,481,544,1897
EP,1999,470,553,2134
EP,2000,463,569,2263
EP,2001,454,556,1999
EP,2002,455,615,2352
EP,2003,458,615,2796
EP,2004,460,614,2787
EP,2005,465,623,3038
EP,2006,465,662,2659
EP,2007,462,681,2722
EP,2008,460,668,2776
EP,2009,472,662,2752
EP,2010,472,662,2709
EP,2011,466,667,2926
EP,2012,456,665,2688
EP,2013,463,690,2717
EP,2014,467,706,2799
EP,2015,467,752,2850
EP,2016,467,749,2905
EP,2017,464,764,2740
EP,2018,459,859,2786
EP,2019,441,860,2909
EP,2020,451,814,2680
ESALQ,1998,202,262,1521
ESALQ,1999,202,273,1959
ESALQ,2000,214,275,2026
ESALQ,2001,211,295,2039
ESALQ,2002,213,321,2097
ESALQ,2003,215,338,1970
ESALQ,2004,219,360,1763
ESALQ,2005,220,367,1476
ESALQ,2006,226,369,1695
ESALQ,2007,232,367,2266
ESALQ,2008,227,370,2373
ESALQ,2009,236,341,2152
ESALQ,2010,234,347,1872
ESALQ,2011,232,348,2153
ESALQ,2012,238,349,1981
ESALQ,2013,246,350,2133
ESALQ,2014,246,360,2161
ESALQ,2015,249,382,2166
ESALQ,2016,239,388,2003
ESALQ,2017,237,380,2162
ESALQ,2018,235,381,2188
ESALQ,2019,221,359,2304
ESALQ,2020,232,354,1985
FAU,1998,130,142,479
FAU,1999,127,115,471
FAU,2000,126,111,487
FAU,2001,128,114,565
FAU,2002,132,117,459
FAU,2003,134,114,564
FAU,2004,129,110,503
FAU,2005,122,112,507
FAU,2006,124,115,460
FAU,2007,125,117,415
FAU,2008,128,130,428
FAU,2009,130,135,418
FAU,2010,136,154,446
FAU,2011,132,162,496
FAU,2012,139,160,531
FAU,2013,128,154,498
FAU,2014,123,146,465
FAU,2015,125,156,493
FAU,2016,126,152,492
FAU,2017,126,162,510
FAU,2018,126,149,604
FAU,2019,122,140,596
FAU,2020,127,131,580
FCF,1998,82,40,483
FCF,1999,86,44,529
FCF,2000,80,38,360
FCF,2001,86,44,477
FCF,2002,77,43,396
FCF,2003,67,46,322
FCF,2004,84,48,519
FCF,2005,86,57,512
FCF,2006,82,74,592
FCF,2007,84,95,656
FCF,2008,88,111,792
FCF,2009,87,104,912
FCF,2010,89,87,721
FCF,2011,90,83,798
FCF,2012,95,81,770
FCF,2013,96,84,797
FCF,2014,92,82,704
FCF,2015,91,80,648
FCF,2016,90,81,610
FCF,2017,90,83,587
FCF,2018,85,79,562
FCF,2019,76,75,532
FCF,2020,74,76,623
FCFRP,1998,73,68,439
FCFRP,1999,73,66,472
FCFRP,2000,71,67,466
FCFRP,2001,73,67,475
FCFRP,2002,73,72,479
FCFRP,2003,72,73,482
FCFRP,2004,74,80,629
FCFRP,2005,77,82,707
FCFRP,2006,93,89,764
FCFRP,2007,94,103,758
FCFRP,2008,95,102,791
FCFRP,2009,92,95,796
FCFRP,2010,71,74,359
FCFRP,2011,14,11,36
FCFRP,2016,1,1,1
FCFRP,2017,1,1,1
FCFRP,2018,1,1,3
FCFRP,2019,2,2,4
FCFRP,2020,1,2,14
FD,1998,130,130,985
FD,1999,121,129,907
FD,2000,119,129,793
FD,2001,113,131,734
FD,2002,111,131,849
FD,2003,128,131,739
FD,2004,129,136,770
FD,2005,129,137,759
FD,2006,130,144,739
FD,2007,123,139,963
FD,2008,134,143,738
FD,2009,155,153,945
FD,2010,163,161,997
FD,2011,157,157,1107
FD,2012,153,159,1155
FD,2013,156,174,1075
FD,2014,161,188,1137
FD,2015,156,191,1095
FD,2016,154,211,1094
FD,2017,154,213,1048
FD,2018,149,209,903
FD,2019,145,213,945
FD,2020,147,254,952
FDRP,2001,1,2,5
FDRP,2002,1,4,10
FDRP,2003,1,3,4
FDRP,2004,1,4,6
FDRP,2005,1,3,5
FDRP,2006,1,2,4
FDRP,2007,1,3,7
FDRP,2008,8,17,74
FDRP,2009,18,39,123
FDRP,2010,23,55,165
FDRP,2011,32,72,208
FDRP,2012,38,94,300
FDRP,2013,38,103,358
FDRP,2014,38,96,257
FDRP,2015,37,99,376
FDRP,2016,39,97,276
FDRP,2017,41,105,292
FDRP,2018,41,120,318
FDRP,2019,40,125,320
FDRP,2020,37,121,282
FE,1998,41,22,66
FE,1999,90,103,336
FE,2000,84,83,254
FE,2001,86,80,239
FE,2002,100,87,280
FE,2003,95,92,286
FE,2004,96,101,325
FE,2005,101,107,359
FE,2006,100,98,335
FE,2007,106,112,509
FE,2008,112,117,453
FE,2009,108,114,367
FE,2010,105,118,366
FE,2011,106,118,343
FE,2012,107,125,361
FE,2013,115,119,355
FE,2014,109,124,334
FE,2015,108,116,346
FE,2016,102,120,346
FE,2017,102,115,331
FE,2018,102,130,355
FE,2019,103,139,413
FE,2020,110,147,419
FEA,1998,193,163,791
FEA,1999,191,155,806
FEA,2000,187,158,849
FEA,2001,190,168,826
FEA,2002,192,171,1384
FEA,2003,198,201,1550
FEA,2004,201,207,2336
FEA,2005,196,208,1176
FEA,2006,187,201,964
FEA,2007,193,211,1884
FEA,2008,188,207,2210
FEA,2009,187,220,891
FEA,2010,184,208,834
FEA,2011,182,200,838
FEA,2012,183,204,832
FEA,2013,189,207,863
FEA,2014,184,219,804
FEA,2015,196,236,925
FEA,2016,191,230,872
FEA,2017,184,227,791
FEA,2018,168,214,744
FEA,2019,166,200,717
FEA,2020,167,211,741
FEARP,1998,32,103,211
FEARP,1999,33,103,206
FEARP,2000,34,102,210
FEARP,2001,33,97,195
FEARP,2002,37,111,212
FEARP,2003,42,172,319
FEARP,2004,44,137,248
FEARP,2005,49,138,253
FEARP,2006,63,165,371
FEARP,2007,68,199,447
FEARP,2008,79,209,503
FEARP,2009,82,236,559
FEARP,2010,82,202,580
FEARP,2011,89,236,666
FEARP,2012,94,243,649
FEARP,2013,96,238,807
FEARP,2014,92,197,682
FEARP,2015,93,205,672
FEARP,2016,94,195,660
FEARP,2017,93,194,611
FEARP,2018,90,193,595
FEARP,2019,88,200,603
FEARP,2020,89,189,596
FFCLRP,1998,101,123,259
FFCLRP,1999,110,187,386
FFCLRP,2000,114,204,415
FFCLRP,2001,120,240,512
FFCLRP,2002,128,260,513
FFCLRP,2003,140,322,616
FFCLRP,2004,160,417,813
FFCLRP,2005,174,478,953
FFCLRP,2006,183,551,1122
FFCLRP,2007,185,571,1434
FFCLRP,2008,192,592,1314
FFCLRP,2009,200,518,1130
FFCLRP,2010,194,514,1039
FFCLRP,2011,207,486,988
FFCLRP,2012,212,508,1078
FFCLRP,2013,213,488,1122
FFCLRP,2014,211,505,1092
FFCLRP,2015,217,483,1080
FFCLRP,2016,215,522,1164
FFCLRP,2017,216,531,1296
FFCLRP,2018,208,540,1188
FFCLRP,2019,209,542,1219
FFCLRP,2020,206,545,1317
FFLCH,1998,318,472,1656
FFLCH,1999,322,459,1651
FFLCH,2000,308,431,1501
FFLCH,2001,319,426,1600
FFLCH,2002,340,472,1682
FFLCH,2003,379,480,1836
FFLCH,2004,397,518,2070
FFLCH,2005,410,516,2143
FFLCH,2006,427,523,2086
FFLCH,2007,447,534,2193
FFLCH,2008,454,558,2233
FFLCH,2009,454,599,2220
FFLCH,2010,466,615,2312
FFLCH,2011,456,609,2250
FFLCH,2012,450,611,2203
FFLCH,2013,454,602,2204
FFLCH,2014,456,615,2237
FFLCH,2015,450,605,2175
FFLCH,2016,456,609,2184
FFLCH,2017,442,613,2233
FFLCH,2018,433,610,2148
FFLCH,2019,418,598,2124
FFLCH,2020,417,606,2150
FM,1998,60,85,355
FM,1999,95,186,646
FM,2000,125,243,671
FM,2001,143,246,1436
FM,2002,145,245,1744
FM,2003,146,278,1521
FM,2004,186,381,2037
FM,2005,196,399,1664
FM,2006,195,376,1924
FM,2007,195,384,1515
FM,2008,190,386,1655
FM,2009,199,384,2268
FM,2010,199,371,2036
FM,2011,221,423,2212
FM,2012,229,461,2993
FM,2013,228,482,2731
FM,2014,233,459,4065
FM,2015,241,466,4718
FM,2016,242,465,5294
FM,2017,238,449,4086
FM,2018,259,451,6246
FM,2019,275,439,5530
FM,2020,251,341,3522
FMRP,1997,32,24,165
FMRP,1998,225,95,3633
FMRP,1999,218,162,4279
FMRP,2000,244,155,4169
FMRP,2001,249,155,3418
FMRP,2002,242,151,4936
FMRP,2003,250,162,5062
FMRP,2004,267,208,6577
FMRP,2005,293,288,8448
FMRP,2006,303,332,11535
FMRP,2007,315,387,14983
FMRP,2008,312,376,13327
FMRP,2009,330,345,13953
FMRP,2010,322,348,9622
FMRP,2011,320,309,7500
FMRP,2012,237,259,4024
FMRP,2013,250,264,4760
FMRP,2014,263,281,5256
FMRP,2015,266,286,4998
FMRP,2016,267,304,5106
FMRP,2017,236,289,4652
FMRP,2018,237,280,4402
FMRP,2019,237,281,4655
FMRP,2020,238,264,4292
FMVZ,1998,73,63,577
FMVZ,1999,76,60,451
FMVZ,2000,80,70,909
FMVZ,2001,80,78,641
FMVZ,2002,83,74,642
FMVZ,2003,83,76,774
FMVZ,2004,88,83,3989
FMVZ,2005,90,96,4944
FMVZ,2006,93,96,4846
FMVZ,2007,91,97,4465
FMVZ,2008,96,102,4518
FMVZ,2009,96,95,4158
FMVZ,2010,94,83,3726
FMVZ,2011,97,82,4111
FMVZ,2012,100,87,4390
FMVZ,2013,101,89,4369
FMVZ,2014,105,92,4410
FMVZ,2015,106,89,4062
FMVZ,2016,103,89,3747
FMVZ,2017,96,84,3447
FMVZ,2018,93,80,3173
FMVZ,2019,98,96,2931
FMVZ,2020,102,102,3308
FO,1998,148,38,1510
FO,1999,147,38,1148
FO,2000,148,37,1077
FO,2001,146,36,896
FO,2002,143,35,942
FO,2003,156,39,916
FO,2004,154,40,1023
FO,2005,149,39,1175
FO,2006,152,43,966
FO,2007,151,44,950
FO,2008,151,47,1089
FO,2009,156,46,1185
FO,2010,157,48,1134
FO,2011,152,57,1384
